City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,Akrehamn,59.2667,5.1833,2.45,86,0,3.09,NO,1701693087
338,Gracemere,-23.4333,150.45,25.95,83,40,2.06,AU,1701693088
339,Andergrove,-21.0833,149.1833,26.47,86,16,1.99,AU,1701693089
340,Itoman,26.1247,127.6694,21.01,94,75,4.12,JP,1701693090
341,Howard Springs,-12.497,131.047,29.95,89,100,2.89,AU,1701693091
342,Metahara,8.9,39.9167,28.88,20,83,6.27,ET,1701693092
343,Angaur State,6.906,134.13,28.56,79,99,8.44,PW,1701693092
344,Kusa,55.3383,59.4406,-3.62,93,100,1.86,RU,1701693093
345,Mar Del Plata,-38.0023,-57.5575,15.53,58,20,1.79,AR,1701692874
346,Zeljezno Polje,44.4083,17.9319,3.73,37,42,1.31,BA,1701693096
347,Tubarjal,30.4999,38.216,25.61,26,9,4.59,SA,1701693097
